AppID,Game Name,Release Date,Developer,Genres,Price ($),Recommendations
1890170,An Indie Game a Month: Unreal Journey,"Mar 7, 2023",rainstory.games,"Action, Adventure, Casual, Indie, RPG",3.99,N/A
1847410,GameMaker Indie,"May 4, 2022",YoYo Games Ltd.,"Animation & Modeling, Design & Illustration, Education, Software Training, Utilities, Web Publishing, Game Development",Free,N/A
1827880,Echo - An Indie Tale (OST + Wallpapers),"Dec 20, 2021",Richard Borges,"Adventure, Casual, Indie",0.99,N/A
1780040,Echo - An Indie Tale Demo,"Oct 6, 2021",Richard Borges,N/A,Free,N/A
1764970,Echo - An Indie Tale,"Nov 16, 2021",Richard Borges,"Adventure, Casual, Indie",2.99,N/A
2740030,RAGMONTON ENDLESS for save indie game,Coming soon,Sinned Games,Action,Free,N/A
2713720,Box To The Beat VR - Indie Electro Beats,"Apr 5, 2024",Khosouf Studio,"Casual, Indie, Sports",6.99,N/A
2696150,NIGHTMARE IN YELLOW PINE - Indie Nights,Coming soon,Xioanz,Indie,Free,N/A
2663630,VENGE - Indie Nights,2024,Xioanz,Indie,Free,N/A
2659790,Indie Nights,Coming soon,Xioanz,"Indie, Early Access",Free,N/A
407620,Indie Game Battle,"Oct 29, 2015",Blob Games Studio,"Action, Indie, Early Access",Free,N/A
400400,FortressCraft Evolved Dapper Indie Supporter's Pack,"Sep 15, 2015",ProjectorGames,"Adventure, Casual, Indie, RPG, Simulation, Strategy",4.99,N/A
357900,Make it indie!,"Apr 1, 2015",Sometimes You,"Adventure, Indie, Simulation",0.99,398
352640,The Indie Mixtape,"Apr 23, 2015","Daniel Linssen, Detective, Ditto, Glitchnap, Shark Jump Studios","Action, Adventure, Indie, RPG",0.99,N/A
323950,Ethan: Meteor Hunter,"Feb 7, 2014",Seaven Studio,"Action, Indie",9.99,N/A
323670,Super Indie Karts,"May 6, 2015",One Legged Seagull,"Indie, Racing, Sports, Early Access",8.99,402
302850,Team Indie,"Oct 8, 2014",Brightside Games,"Action, Indie",Free,N/A
207080,Indie Game: The Movie,"Jun 12, 2012",BlinkWorks Media,Indie,9.99,1012
81680,Indie Game: the Movie Trailer,"May 24, 2012",BlinkWorks Media,Indie,Free,N/A
2373970,Indie Game Farmer,Coming soon,liangxiegame,"Casual, Indie, RPG, Simulation",Free,N/A
1989160,Super Indiemania Demo,"Jul 7, 2022",IndiemaniaDev,N/A,Free,N/A
1977270,Super Indiemania,"Nov 2, 2022",IndiemaniaDev,"Action, Indie",2.39,N/A
1939900,Indies' Lies Demo,"Mar 25, 2022",Fun Square Games,N/A,Free,N/A
2209260,Memory Hunters - Indie Donation DLC,"Nov 8, 2022",Luca Morello,"Adventure, Indie, RPG",3.99,N/A
554980,LolliPop: The Best Indie Game,"May 27, 2020",MyPocketGames,"Adventure, Casual, Indie",2.99,N/A
549740,Indie Game Sim,"Dec 8, 2016",Lost Decade Games,"Action, Indie, Simulation",7.99,N/A
522651,The Metronomicon - Indie Game Challenge Pack 1,"Oct 13, 2016",Puuba,"Action, Indie, RPG",1.99,N/A
446060,akeytsu Indie 2017,"Feb 2, 2017",nukeygara,"Animation & Modeling, Design & Illustration, Education, Software Training, Video Production, Web Publishing",Free,N/A
433930,MARI indie 3.0,"Feb 2, 2016",The Foundry,"Animation & Modeling, Design & Illustration, Education, Photo Editing, Software Training",Free,N/A
413290,Surviving Indie,"Dec 19, 2016",Gamestar Arts,"Movie, Documentary",Free,N/A
1353470,Super Indie Square - Fight Against Time,"Jul 20, 2020",Eternal One Games,"Action, Adventure, Casual, Indie",12.99,N/A
1280520,Indiecalypse Soundtrack,"May 29, 2020",JanduSoft,N/A,6.99,N/A
1123610,Indiecalypse,"May 29, 2020",JanduSoft,"Action, Adventure, Casual, Indie",12.99,N/A
1089187,Rocksmith® 2014 Edition – Remastered – Indie Rock Song Pack,"Jul 16, 2019",Ubisoft - San Francisco,"Casual, Simulation",7.99,N/A
1076140,Super Indie Square,"Oct 7, 2019",Eternal One Games,"Action, Adventure, Casual, Indie",2.54,N/A
1051750,Indie Pogo - Frogtaro Skin,"May 7, 2019",Lowe Bros. Studios LLC,"Action, Indie",2.99,N/A
991220,Indie Supporter pack!,"Dec 14, 2018",Gunschlinger,"Action, Indie",6.99,N/A
888350,Talk in der Alm: #02.1 Was ist eigentlich Indie?,"Jun 26, 2018",HandyGames,N/A,Free,N/A
888450,Talk in der Alm: #02.2 Was ist eigentlich Indie?,"Jun 26, 2018",N/A,N/A,Free,N/A
888451,Talk in der Alm: #02.3 Was ist eigentlich Indie?,"Jun 26, 2018",N/A,N/A,Free,N/A
888452,Talk in der Alm: #02.4 Was ist eigentlich Indie?,"Jun 26, 2018",N/A,N/A,Free,N/A
844440,The Indie Game Legend 3D,"Jun 27, 2019","progrium, phubans","Action, Indie",9.99,N/A
818210,Indie Pogo,"Jul 10, 2018",Lowe Bros. Studios LLC,"Action, Indie",14.99,244
1682180,akeytsu Indie 2021 Upgrade,"Jun 30, 2021",nukeygara,"Animation & Modeling, Design & Illustration, Education, Software Training, Video Production, Game Development",Free,N/A
1661900,Human Apocalypse - Reverse Horror Zombie Indie RPG Adventure,"Feb 28, 2022",Euphoric Brothers,"Action, Adventure, Casual, Indie, RPG, Simulation",9.99,N/A
1644820,Bobby - Pixel indie platformer,Coming soon,Yo You Games,"Action, Adventure, Indie",Free,N/A
1638390,Indies' Lies,"Jan 15, 2023",Fun Square Games,"RPG, Strategy",14.99,607
1468090,akeytsu Indie 2021,"Dec 15, 2020",Nukeygara,"Animation & Modeling, Design & Illustration, Education, Software Training, Video Production, Game Development",Free,N/A
1890170,An Indie Game a Month: Unreal Journey,"Mar 7, 2023",rainstory.games,"Action, Adventure, Casual, Indie, RPG",3.99,N/A
1847410,GameMaker Indie,"May 4, 2022",YoYo Games Ltd.,"Animation & Modeling, Design & Illustration, Education, Software Training, Utilities, Web Publishing, Game Development",Free,N/A
1827880,Echo - An Indie Tale (OST + Wallpapers),"Dec 20, 2021",Richard Borges,"Adventure, Casual, Indie",0.99,N/A
1780040,Echo - An Indie Tale Demo,"Oct 6, 2021",Richard Borges,N/A,Free,N/A
1764970,Echo - An Indie Tale,"Nov 16, 2021",Richard Borges,"Adventure, Casual, Indie",2.99,N/A
407620,Indie Game Battle,"Oct 29, 2015",Blob Games Studio,"Action, Indie, Early Access",Free,N/A
400400,FortressCraft Evolved Dapper Indie Supporter's Pack,"Sep 15, 2015",ProjectorGames,"Adventure, Casual, Indie, RPG, Simulation, Strategy",4.99,N/A
357900,Make it indie!,"Apr 1, 2015",Sometimes You,"Adventure, Indie, Simulation",0.99,398
352640,The Indie Mixtape,"Apr 23, 2015","Daniel Linssen, Detective, Ditto, Glitchnap, Shark Jump Studios","Action, Adventure, Indie, RPG",0.99,N/A
323950,Ethan: Meteor Hunter,"Feb 7, 2014",Seaven Studio,"Action, Indie",9.99,N/A
323670,Super Indie Karts,"May 6, 2015",One Legged Seagull,"Indie, Racing, Sports, Early Access",8.99,402
302850,Team Indie,"Oct 8, 2014",Brightside Games,"Action, Indie",Free,N/A
207080,Indie Game: The Movie,"Jun 12, 2012",BlinkWorks Media,Indie,9.99,1012
81680,Indie Game: the Movie Trailer,"May 24, 2012",BlinkWorks Media,Indie,Free,N/A
3139290,Life of a Lonely Indie Game Developer,2025,kan.kikuchi,"Casual, Indie, Simulation",Free,N/A
502570,Houdini Indie,"Oct 10, 2018",SideFX,"Animation & Modeling, Design & Illustration, Video Production, Game Development",269.99,207
