AppID,Game Name,Release Date,Developer,Genres,Price ($),Recommendations,Metacritic Score
3023460,SILENT SCREAM 2,To be announced,Studio 23,"Action, Adventure, Indie",Free,0,N/A
1206060,Happy Game,"Oct 28, 2021",Amanita Design,"Adventure, Casual, Indie",13.13,2347,81
1732270,Tanhaji - The Lion Maratha Warrior of Ch. Shivaji,"Oct 4, 2021",AbracaDabra Software Solutions,"Action, Adventure, Indie, RPG, Strategy",11.99,0,N/A
576310,Oracle,"Feb 28, 2017",Watercolor Games,"Adventure, Casual, Indie, Simulation",0.99,226,N/A
1346630,Astronomia,"Jul 7, 2020",Ari Velazquez,"Casual, Indie",4.99,0,N/A
1214590,The Puzzle Box Society,"Feb 10, 2020",Alex Asenbrenner Games,"Adventure, Indie, Strategy",14.99,0,N/A
880800,AKAI NOROI,"Jul 24, 2020",Aza Game Studio,Indie,3.89,0,N/A
545400,Natural - Beyond Nature -,"Dec 12, 2016",Zeiva Inc,"Adventure, Casual, Indie",9.99,0,N/A
2528450,I Am Short,To be announced,OverPhil,Indie,Free,0,N/A
2289450,Idle Cave Miner,"Dec 7, 2023",Cold Hours,"Casual, Indie, Simulation, Free To Play",Free,0,N/A
2240150,Summer's Gone - Season 1,"May 10, 2024",OceanAVN,"Adventure, Indie, RPG, Simulation, Strategy",14.99,406,N/A
1952910,Social Moth,"May 11, 2022",Social Moth Dev Team,"Casual, Indie",0.99,0,N/A
2535780,Witch Cram Sorceries,"Nov 23, 2023",Inu to Neko,"Casual, Indie, RPG, Simulation, Strategy",6.99,0,N/A
1419760,Zombie's Cool,"20 Dec, 2020",Game Museum,"Action, Indie",0.79,0,N/A
2325170,HAG,"Oct 4, 2023",jason silver,"Action, Adventure, Casual, Indie",1.99,0,N/A
1871000,Furry Futanari: 3 in 1 ⚧🏳️‍🌈,"Mar 3, 2022",Futanari Games,"Adventure, Casual, Indie, RPG, Simulation, Strategy",2.99,0,N/A
3267370,My friend Mango,"Dec 13, 2024",Bliuper Studios,"Action, Adventure, Casual, Indie",Free,0,N/A
80200,Fate of the World,"Feb 28, 2011",Red Redemption,"Casual, Indie, Simulation, Strategy",9.99,388,70
1290260,Dark Roll: Free Kick Challenge,"Aug 5, 2021",Pawel Zajac (Artbarian Games),"Casual, Indie, Simulation, Sports, Free To Play",Free,0,N/A
2142460,Retired Waves,"Feb 22, 2023",Bing Liu,"Adventure, Indie",5.0,0,N/A
2073590,Ludde,"Dec 1, 2023",Shellander Games,"Action, Adventure, Casual, Indie, Racing",7.99,0,N/A
1621450,Biscuitts 4,"Nov 24, 2021",Crossplatform,"Action, Adventure, Indie",1.99,0,N/A
